age,salary,years_experience,weekly_hours,performance_score,bonus,projects_handled,department,education_level,employment_type,region
56.0,7000.0,1.136786165687872,57.0,3.76,4104.0,,HR,PhD,Contract,North
46.0,8052.0,1.8035259135633446,34.0,1.8,1169.0,7.0,Sales,Master,Full-time,North
32.0,missing,2.271664495028051,53.0,3.14,4864.0,1.0,Marketing,High School,Part-time,West
60.0,8387.0,2.0502233079983907,54.0,1.39,1783.0,17.0,HR,Bachelor,Contract,West
25.0,missing,1.7133688813639787,44.0,2.8,1423.0,9.0,IT,High School,Full-time,North
38.0,8536.0,,43.0,4.02,1625.0,13.0,HR,PhD,Part-time,West
56.0,16479.0,1.9983217280388539,31.0,2.39,2029.0,19.0,HR,,Full-time,North
36.0,6913.0,1.669994800282483,37.0,3.66,2094.0,19.0,IT,PhD,Part-time,South
40.0,13636.0,1.16631144044593,34.0,4.18,746.0,17.0,Finance,Master,Part-time,West
28.0,8726.0,1.5072041981855182,35.0,4.71,4211.0,10.0,Finance,PhD,Part-time,West
28.0,6373.0,1.6277187378063946,46.0,1.94,2060.0,10.0,Sales,PhD,Full-time,West
41.0,,1.6277187378063946,27.0,2.6,2900.0,4.0,Sales,Master,Contract,South
53.0,5082.0,1.7133688813639787,44.0,1.61,2743.0,8.0,Finance,High School,Full-time,North
57.0,19281.0,1.9983217280388539,36.0,4.97,,18.0,Marketing,Master,Part-time,East
41.0,18305.0,2.718281828459045,48.0,,2439.0,14.0,HR,Master,Full-time,West
20.0,64085.0,1.16631144044593,27.0,3.16,3569.0,18.0,Marketing,PhD,Contract,
39.0,14261.0,1.0,34.0,4.37,726.0,14.0,HR,High School,Full-time,South
19.0,3417.0,2.214157112310289,46.0,3.08,4047.0,15.0,Finance,Bachelor,Contract,East
41.0,,1.3602823761150602,26.0,3.49,764.0,4.0,Sales,Master,Contract,West
61.0,6267.0,2.1034729061296265,22.0,1.36,1895.0,13.0,Sales,High School,Full-time,South
47.0,8745.0,,48.0,4.02,4057.0,8.0,Marketing,Master,Part-time,South
unknown,14338.0,1.5865128974999683,43.0,1.51,1145.0,18.0,Sales,Master,Contract,East
19.0,3412.0,2.214157112310289,,4.3,3490.0,12.0,Finance,Master,Full-time,North
38.0,10543.0,2.1034729061296265,39.0,4.13,2399.0,14.0,Marketing,Master,Contract,West
